rating,genre,runtime_in_minutes,tomatometer_status,tomatometer_rating,tomatometer_count,audience_rating
2,951,93.0,2,41,39,36.0
2,693,80.0,1,91,11,83.0
6,463,86.0,1,94,17,72.0
3,959,88.0,0,95,41,72.0
2,691,74.0,1,92,24,73.0
2,689,108.0,1,82,28,89.0
6,579,95.0,2,43,7,22.0
3,697,100.0,1,91,23,76.0
2,716,115.0,1,100,13,87.0
3,298,117.0,2,50,12,50.0
6,167,120.0,1,71,7,46.0
6,292,109.0,2,40,10,38.0
2,689,125.0,1,84,25,91.0
3,618,95.0,1,88,24,83.0
6,292,109.0,2,25,8,17.0
6,951,134.0,1,84,37,88.0
6,1033,92.0,2,29,7,22.0
3,667,105.0,1,100,20,69.0
2,689,91.0,1,93,14,78.0
3,690,128.0,1,92,24,91.0
3,617,175.0,1,97,36,77.0
2,747,78.0,1,82,11,55.0
3,1035,102.0,2,36,14,33.0
3,744,80.0,0,98,56,85.0
3,1035,115.0,0,93,57,81.0
2,651,72.0,1,100,37,85.0
6,959,111.0,2,40,5,51.0
3,313,98.0,2,56,25,40.0
3,951,104.0,1,88,8,60.0
2,641,72.0,1,100,11,82.0
6,693,90.0,1,75,20,39.0
0,62,96.0,1,80,15,65.0
0,654,78.0,2,43,7,37.0
0,423,48.0,2,57,7,61.0
2,65,98.0,2,55,20,35.0
0,183,104.0,0,93,42,79.0
2,704,89.0,1,74,27,57.0
3,987,115.0,2,19,21,71.0
0,988,108.0,2,55,22,76.0
2,689,103.0,1,89,9,88.0
2,59,103.0,1,90,10,82.0
2,712,121.0,1,95,21,81.0
0,59,116.0,2,40,5,35.0
0,160,109.0,2,57,14,56.0
6,292,111.0,2,20,10,19.0
6,279,98.0,2,40,10,65.0
0,704,95.0,2,40,5,56.0
3,292,122.0,2,46,13,33.0
0,740,133.0,1,96,25,83.0
0,178,103.0,0,98,60,86.0
3,315,134.0,2,53,38,31.0
3,806,109.0,0,88,58,90.0
4,690,165.0,1,85,20,77.0
0,160,102.0,1,92,12,60.0
3,742,99.0,0,98,43,88.0
2,437,97.0,1,100,23,87.0
2,742,90.0,0,100,61,91.0
3,1009,89.0,2,36,39,73.0
2,689,108.0,1,91,11,85.0
3,689,95.0,1,100,13,83.0
2,626,94.0,1,91,23,86.0
3,689,134.0,1,92,38,90.0
2,366,30.0,1,75,12,53.0
2,698,102.0,1,88,8,72.0
0,629,91.0,1,88,8,81.0
3,489,109.0,1,69,26,85.0
6,620,70.0,1,92,12,55.0
4,828,94.0,0,90,51,79.0
2,701,115.0,1,93,14,78.0
0,701,121.0,1,83,6,83.0
6,292,115.0,2,17,12,50.0
2,626,152.0,1,93,42,84.0
2,689,174.0,1,94,16,86.0
2,689,105.0,1,89,18,82.0
6,133,125.0,1,81,32,75.0
2,447,99.0,1,92,12,76.0
2,160,66.0,1,100,6,66.0
0,146,110.0,1,75,16,66.0
3,860,96.0,2,40,5,29.0
3,689,122.0,1,100,10,81.0
2,579,105.0,0,100,53,95.0
3,816,102.0,2,45,11,82.0
0,508,134.0,1,91,23,85.0
2,689,88.0,0,90,40,85.0
6,176,126.0,0,88,43,87.0
3,868,110.0,2,40,10,42.0
3,995,101.0,0,100,55,91.0
0,689,121.0,1,82,38,87.0
5,712,127.0,0,96,56,90.0
4,294,112.0,2,47,17,46.0
6,327,121.0,1,94,36,77.0
3,863,90.0,2,19,36,55.0
2,194,80.0,1,88,8,70.0
2,716,90.0,1,100,34,87.0
6,1034,91.0,2,47,15,51.0
6,167,100.0,2,40,5,66.0
2,689,85.0,1,77,13,74.0
3,294,108.0,2,5,20,12.0
4,63,115.0,0,98,124,92.0
2,643,117.0,1,91,11,62.0
3,172,94.0,1,95,20,63.0
2,689,107.0,1,100,23,88.0
6,0,101.0,2,20,15,42.0
3,557,126.0,1,64,25,87.0
2,626,123.0,1,92,25,85.0
0,160,116.0,1,86,21,73.0
2,618,77.0,1,94,18,83.0
3,642,92.0,1,88,25,68.0
3,329,136.0,1,61,49,43.0
2,689,74.0,1,70,10,46.0
2,704,119.0,1,78,9,90.0
2,667,95.0,1,67,21,49.0
4,995,110.0,2,36,11,45.0
2,732,72.0,1,93,28,72.0
0,459,86.0,1,89,9,64.0
2,712,102.0,1,88,17,39.0
0,1060,152.0,1,94,17,85.0
2,160,122.0,1,94,35,84.0
2,160,179.0,1,68,19,74.0
0,641,95.0,1,97,32,90.0
3,320,101.0,1,85,13,63.0
6,1040,95.0,0,88,49,74.0
6,752,95.0,1,63,8,49.0
6,279,101.0,2,56,9,44.0
3,447,183.0,1,71,14,79.0
2,661,92.0,1,97,38,91.0
6,675,90.0,0,97,66,88.0
2,174,119.0,1,100,20,90.0
6,0,100.0,1,70,20,55.0
6,279,107.0,2,50,6,63.0
6,292,108.0,2,21,14,29.0
6,292,114.0,0,91,43,72.0
4,618,107.0,1,85,26,67.0
3,995,98.0,1,77,22,59.0
3,626,105.0,1,100,34,89.0
2,712,111.0,1,100,30,86.0
3,61,130.0,1,64,14,64.0
6,730,111.0,0,85,48,80.0
2,719,134.0,1,76,21,69.0
2,660,98.0,1,93,28,83.0
6,782,120.0,2,57,7,42.0
2,689,90.0,1,86,7,43.0
6,788,89.0,2,50,6,29.0
4,618,98.0,1,60,15,68.0
0,656,127.0,1,90,20,75.0
3,618,99.0,1,82,22,88.0
6,990,107.0,1,85,26,65.0
0,421,77.0,1,80,35,80.0
6,1025,93.0,2,38,13,53.0
2,691,79.0,0,91,46,84.0
