rating,genre,runtime_in_minutes,tomatometer_status,tomatometer_rating,tomatometer_count,audience_rating
NR,"Action & Adventure, Documentary, Drama, Mystery & Suspense, Science Fiction & Fantasy",101,Fresh,80,5,28
NR,"Classics, Drama",104,Fresh,86,7,78
NR,"Classics, Comedy, Musical & Performing Arts, Romance",107,Fresh,95,19,70
G,"Classics, Cult Movies, Horror, Science Fiction & Fantasy",79,Fresh,85,33,73
R,Drama,99,Fresh,73,15,82
R,"Comedy, Drama, Horror",91,Rotten,25,8,22
NR,"Classics, Comedy, Drama, Musical & Performing Arts, Science Fiction & Fantasy",110,Fresh,76,17,70
G,"Classics, Drama",72,Fresh,80,5,61
R,Drama,120,Fresh,93,30,83
NR,"Drama, Mystery & Suspense",85,Fresh,67,6,57
NR,"Art House & International, Classics, Comedy, Drama, Romance",124,Fresh,69,13,71
NR,Horror,96,Fresh,83,36,75
G,"Classics, Drama, Science Fiction & Fantasy",92,Certified Fresh,95,55,87
NR,"Classics, Drama",138,Fresh,100,10,89
R,"Action & Adventure, Comedy, Horror, Mystery & Suspense",97,Rotten,11,9,49
NR,"Classics, Drama, Mystery & Suspense",100,Fresh,67,6,67
PG,Drama,130,Fresh,67,21,81
PG,"Drama, Television",135,Fresh,100,8,75
R,"Art House & International, Horror",89,Fresh,60,10,65
NR,"Classics, Drama, Mystery & Suspense",112,Fresh,86,7,79
NR,"Classics, Horror",80,Rotten,20,5,28
R,"Action & Adventure, Drama, Mystery & Suspense",107,Fresh,92,13,73
NR,"Classics, Comedy, Drama, Romance",113,Fresh,95,19,74
R,Drama,120,Rotten,43,7,45
PG-13,"Classics, Drama, Television, Romance",193,Certified Fresh,83,46,88
NR,"Classics, Western",105,Fresh,100,13,74
R,Horror,77,Fresh,62,13,51
NR,"Drama, Horror",96,Fresh,93,28,79
NR,"Animation, Classics, Comedy, Kids & Family, Musical & Performing Arts, Television",26,Fresh,100,25,96
NR,"Classics, Horror",75,Certified Fresh,91,46,82
R,"Horror, Mystery & Suspense",105,Fresh,60,5,40
R,"Art House & International, Drama, Horror, Romance",110,Fresh,63,16,58
PG-13,"Action & Adventure, Comedy",106,Rotten,50,34,41
PG-13,Comedy,113,Rotten,54,13,61
R,"Drama, Horror, Mystery & Suspense",105,Certified Fresh,83,47,74
PG,"Mystery & Suspense, Television",90,Fresh,88,41,84
PG-13,Science Fiction & Fantasy,137,Rotten,53,47,66
PG,"Action & Adventure, Art House & International, Mystery & Suspense",134,Fresh,67,9,68
PG,"Classics, Drama",115,Fresh,86,37,90
R,"Action & Adventure, Comedy",95,Fresh,60,10,58
R,"Horror, Mystery & Suspense",96,Rotten,29,14,29
NR,"Art House & International, Drama",110,Fresh,86,7,78
PG,Drama,123,Certified Fresh,91,47,93
R,"Action & Adventure, Drama, Mystery & Suspense",96,Fresh,79,28,59
NR,"Classics, Drama, Mystery & Suspense",87,Fresh,88,8,70
R,"Action & Adventure, Science Fiction & Fantasy",99,Certified Fresh,85,62,76
G,"Classics, Drama",208,Fresh,67,15,70
R,"Horror, Mystery & Suspense",102,Fresh,75,12,38
NR,"Classics, Science Fiction & Fantasy",113,Fresh,81,36,72
R,"Drama, Mystery & Suspense",94,Rotten,43,14,33
PG,"Comedy, Drama",91,Rotten,50,6,78
