rating,genre,runtime_in_minutes,tomatometer_status,tomatometer_rating,tomatometer_count,audience_rating
0,178,103,0,98,60,86
3,315,134,2,53,38,31
3,806,109,0,88,58,90
4,690,165,1,85,20,77
0,160,102,1,92,12,60
3,742,99,0,98,43,88
2,437,97,1,100,23,87
2,742,90,0,100,61,91
3,1009,89,2,36,39,73
2,689,108,1,91,11,85
3,689,95,1,100,13,83
2,626,94,1,91,23,86
3,689,134,1,92,38,90
2,366,30,1,75,12,53
2,698,102,1,88,8,72
0,629,91,1,88,8,81
3,489,109,1,69,26,85
6,620,70,1,92,12,55
4,828,94,0,90,51,79
2,701,115,1,93,14,78
0,701,121,1,83,6,83
6,292,115,2,17,12,50
2,626,152,1,93,42,84
2,689,174,1,94,16,86
2,689,105,1,89,18,82
6,133,125,1,81,32,75
2,447,99,1,92,12,76
2,160,66,1,100,6,66
0,146,110,1,75,16,66
3,860,96,2,40,5,29
3,689,122,1,100,10,81
2,579,105,0,100,53,95
3,816,102,2,45,11,82
0,508,134,1,91,23,85
2,689,88,0,90,40,85
6,176,126,0,88,43,87
3,868,110,2,40,10,42
3,995,101,0,100,55,91
0,689,121,1,82,38,87
5,712,127,0,96,56,90
4,294,112,2,47,17,46
6,327,121,1,94,36,77
3,863,90,2,19,36,55
2,194,80,1,88,8,70
2,716,90,1,100,34,87
6,1034,91,2,47,15,51
6,167,100,2,40,5,66
2,689,85,1,77,13,74
3,294,108,2,5,20,12
4,63,115,0,98,124,92
2,643,117,1,91,11,62
3,172,94,1,95,20,63
2,689,107,1,100,23,88
6,0,101,2,20,15,42
3,557,126,1,64,25,87
2,626,123,1,92,25,85
0,160,116,1,86,21,73
2,618,77,1,94,18,83
3,642,92,1,88,25,68
3,329,136,1,61,49,43
2,689,74,1,70,10,46
2,704,119,1,78,9,90
2,667,95,1,67,21,49
4,995,110,2,36,11,45
2,732,72,1,93,28,72
0,459,86,1,89,9,64
2,712,102,1,88,17,39
0,1060,152,1,94,17,85
2,160,122,1,94,35,84
2,160,179,1,68,19,74
0,641,95,1,97,32,90
3,320,101,1,85,13,63
6,1040,95,0,88,49,74
6,752,95,1,63,8,49
6,279,101,2,56,9,44
3,447,183,1,71,14,79
2,661,92,1,97,38,91
6,675,90,0,97,66,88
2,174,119,1,100,20,90
6,0,100,1,70,20,55
6,279,107,2,50,6,63
6,292,108,2,21,14,29
6,292,114,0,91,43,72
4,618,107,1,85,26,67
3,995,98,1,77,22,59
3,626,105,1,100,34,89
2,712,111,1,100,30,86
3,61,130,1,64,14,64
6,730,111,0,85,48,80
2,719,134,1,76,21,69
2,660,98,1,93,28,83
6,782,120,2,57,7,42
2,689,90,1,86,7,43
6,788,89,2,50,6,29
4,618,98,1,60,15,68
0,656,127,1,90,20,75
3,618,99,1,82,22,88
6,990,107,1,85,26,65
0,421,77,1,80,35,80
6,1025,93,2,38,13,53
2,691,79,0,91,46,84
2,696,110,1,92,13,76
2,856,113,1,90,31,78
6,834,92,1,72,25,41
0,147,112,1,81,16,84
2,877,90,1,84,19,74
0,747,112,0,88,58,87
6,167,92,1,94,35,84
0,973,134,1,85,13,79
3,1025,114,0,85,61,78
3,229,114,1,60,30,38
3,292,117,1,79,24,75
3,341,92,1,80,5,53
6,712,113,1,92,24,79
3,995,123,1,79,14,59
6,951,111,2,50,12,44
2,626,118,1,100,10,77
3,160,118,1,60,5,63
2,160,101,1,100,9,80
2,447,91,1,67,6,71
3,618,90,0,90,70,85
3,217,107,1,75,20,55
6,1025,91,2,45,20,35
6,951,106,2,52,152,46
3,1042,102,2,29,14,36
6,279,95,2,20,5,45
6,1025,88,1,67,6,49
2,165,84,1,100,30,84
4,1035,91,1,62,13,30
3,681,171,1,88,17,73
3,689,128,1,94,17,87
6,0,105,2,25,12,28
2,716,146,1,83,6,72
4,951,128,2,50,16,77
3,712,115,0,100,66,95
4,0,114,2,46,24,65
6,160,106,1,67,24,37
6,706,136,0,96,57,92
4,334,89,2,15,26,28
3,557,151,1,67,12,91
3,320,109,2,52,33,71
6,293,123,2,38,16,54
6,782,117,2,57,14,38
6,752,99,0,96,47,72
6,327,114,2,37,43,66
0,41,83,2,54,28,81
6,301,103,0,89,64,84
3,752,94,1,80,25,75
3,1019,119,0,94,62,69
3,1006,138,1,94,36,74
2,380,53,1,95,20,84
4,334,100,2,44,18,32
6,195,107,1,60,20,59
6,742,81,1,100,11,69
0,641,113,1,92,37,89
2,160,97,1,100,10,86
0,689,128,1,63,8,58
6,1035,120,1,76,33,64
6,689,112,1,78,23,79
3,689,94,1,100,37,86
0,976,86,1,75,16,84
2,171,127,1,100,12,87
3,862,85,2,0,6,30
3,959,89,2,56,9,56
0,689,100,1,73,15,77
3,712,108,1,100,35,90
6,129,100,0,88,40,68
0,657,101,1,67,18,48
6,292,97,1,63,8,41
2,634,109,1,89,9,85
4,176,82,1,100,16,67
3,840,98,2,58,36,67
3,626,101,1,93,30,87
2,704,107,1,89,9,70
6,1025,88,2,28,18,39
6,807,103,1,67,6,85
3,246,113,1,80,20,71
3,862,97,2,57,7,69
2,302,117,1,80,5,61
6,752,102,2,38,16,56
0,379,75,0,88,42,80
2,632,84,1,100,5,31
3,327,121,1,79,39,83
3,987,98,2,10,10,91
4,160,184,0,95,57,87
3,863,111,0,90,41,
6,752,101,2,22,9,42
4,243,101,2,17,6,29
2,255,100,1,88,8,66
2,176,100,1,100,37,86
0,678,110,1,90,20,68
6,855,117,1,87,23,56
3,689,111,1,100,20,77
3,704,175,0,98,40,82
6,990,141,2,36,36,64
0,376,79,0,98,48,76
0,420,73,1,67,6,41
3,626,129,0,93,59,95
3,712,96,1,96,26,80
3,689,122,0,98,56,90
3,167,75,1,100,8,63
4,752,98,1,62,29,58
2,160,133,1,82,11,63
3,626,111,1,78,23,73
6,959,121,1,69,16,58
2,712,99,1,97,31,78
2,693,76,1,83,6,80
6,689,120,1,75,16,72
2,740,103,1,100,26,87
0,317,126,1,82,22,78
2,716,128,1,100,11,84
2,641,126,1,86,22,74
6,292,117,1,71,7,34
6,0,112,2,10,20,19
3,767,140,1,60,10,74
2,690,146,1,83,6,73
0,690,219,1,94,35,87
2,623,90,1,71,14,62
6,951,108,1,71,7,50
3,733,93,1,100,27,77
6,1042,87,1,88,24,59
2,689,95,1,96,23,71
6,292,122,1,93,30,81
2,733,87,1,89,35,73
6,1042,109,0,84,62,92
6,961,96,1,100,5,43
6,712,81,1,93,14,81
3,872,115,2,46,39,67
2,141,125,1,78,9,74
3,195,105,1,83,12,78
0,191,103,1,77,35,79
3,987,111,1,74,27,72
6,954,93,2,0,5,30
3,752,90,1,77,35,80
6,599,90,2,50,8,55
4,712,95,0,96,76,92
3,752,103,2,57,14,55
2,129,102,1,100,6,75
3,181,96,1,100,6,68
2,454,118,1,85,33,88
6,172,85,2,36,22,53
2,160,132,1,96,24,87
6,279,105,2,56,9,61
0,750,119,2,29,7,65
2,661,105,1,93,15,87
6,878,93,2,43,7,31
3,840,99,2,43,14,41
3,279,116,1,71,7,71
6,1035,78,1,92,26,77
6,253,93,1,89,38,88
4,860,106,2,47,19,41
4,862,94,2,56,32,69
6,1033,97,2,38,16,49
2,641,99,1,88,8,70
0,738,120,0,76,42,88
2,750,92,1,100,21,86
6,997,112,1,92,38,80
2,712,107,1,100,7,83
2,626,133,1,92,25,88
3,689,105,1,91,23,75
0,716,104,1,95,21,85
6,279,134,2,56,18,52
0,735,128,1,100,14,77
2,652,114,2,50,12,80
6,292,102,1,71,21,35
6,782,115,2,10,10,58
6,1033,92,2,22,9,32
6,474,115,1,88,32,87
4,279,125,2,10,20,32
4,300,138,1,100,35,89
2,712,98,1,88,16,76
0,377,75,1,81,31,78
4,752,96,1,71,17,59
2,739,100,1,83,6,78
3,203,105,1,63,49,53
2,641,96,1,90,10,74
6,327,113,2,19,32,42
0,990,151,1,100,5,71
0,835,100,2,31,90,32
2,698,87,1,86,7,75
6,327,98,2,58,12,51
2,1006,83,1,100,8,79
6,995,105,2,36,11,23
4,809,126,0,74,66,80
4,279,106,1,67,24,79
2,601,117,1,94,18,91
6,160,87,1,97,36,84
3,41,78,1,87,39,82
6,712,111,1,97,33,88
2,689,107,1,85,13,59
3,951,126,1,83,24,78
6,213,121,2,29,14,36
3,951,95,1,87,15,84
2,689,105,1,90,10,78
6,716,97,1,100,12,83
6,1025,97,2,56,9,39
6,951,146,0,96,95,97
6,855,96,0,88,52,87
3,286,109,1,63,19,63
6,585,90,1,100,9,72
2,168,90,2,57,7,54
4,811,106,1,75,28,57
6,995,108,1,83,18,71
2,689,102,1,95,19,80
2,452,97,1,75,12,73
2,693,89,1,86,22,78
4,951,120,1,88,33,89
2,1064,107,0,95,43,93
6,951,110,2,47,15,45
6,862,103,2,33,18,44
4,557,113,2,43,14,81
3,806,109,2,12,17,63
2,951,72,1,86,7,73
2,712,90,1,100,15,89
2,712,109,1,89,9,77
2,689,92,1,80,5,76
6,292,112,2,36,14,66
2,557,142,1,96,23,96
3,951,97,1,67,9,50
4,752,83,1,83,24,65
6,1006,94,1,78,18,87
6,0,96,2,13,8,45
2,641,120,1,83,6,70
6,579,98,2,31,13,55
2,716,126,1,78,9,
4,951,125,1,82,17,72
4,951,112,2,36,11,50
6,802,116,0,88,43,90
6,811,117,1,66,29,67
4,995,115,2,39,18,42
2,689,91,2,17,6,60
1,560,85,1,76,21,68
6,995,128,0,75,48,77
4,585,110,2,56,9,72
4,793,102,2,53,17,77
6,995,189,0,84,62,88
4,1006,105,1,90,20,85
2,167,129,2,50,8,70
2,61,133,1,92,13,90
3,752,105,1,70,43,70
6,292,120,1,71,28,72
4,951,105,2,19,21,46
2,667,89,1,100,7,66
2,1036,99,1,95,19,80
0,139,99,1,83,29,86
3,842,87,2,33,27,35
6,489,113,2,53,15,83
3,951,115,2,46,37,37
3,811,101,2,56,34,76
6,279,102,2,31,13,69
6,292,108,1,86,21,77
0,840,92,2,0,14,58
4,752,98,2,17,12,73
6,951,91,1,100,10,76
6,860,116,2,44,34,59
6,292,100,2,40,20,55
6,292,85,2,0,5,29
4,951,110,1,97,29,82
6,1033,88,2,40,15,33
4,30,102,2,6,48,31
4,811,99,0,79,52,72
2,712,96,1,86,21,80
2,747,80,1,60,5,27
4,279,126,2,50,12,82
6,300,114,0,95,40,88
6,1064,100,2,25,12,24
6,811,108,0,93,41,87
4,782,118,1,65,20,50
3,341,100,2,43,7,27
2,704,106,1,80,10,55
3,981,102,2,57,23,53
3,787,99,1,94,34,62
6,1023,131,0,96,98,93
4,782,110,1,62,21,46
4,951,201,0,88,57,91
2,667,496,1,80,5,60
6,951,157,0,88,43,92
6,327,90,2,30,23,32
6,0,98,2,38,13,56
6,1064,110,2,47,36,46
6,995,87,2,25,28,41
6,103,92,2,18,11,21
4,465,98,2,58,19,66
6,279,125,1,62,26,68
6,292,108,2,50,24,50
6,940,104,1,100,17,88
3,860,102,2,25,24,27
2,105,160,1,100,37,93
2,689,89,1,89,18,95
6,128,109,2,29,17,47
4,752,110,2,31,29,30
6,0,113,1,68,53,52
2,969,117,2,17,6,47
6,995,154,0,75,55,64
2,733,88,1,60,5,33
2,712,91,1,96,24,76
6,995,115,2,33,9,42
2,845,142,2,40,5,76
6,585,98,2,56,16,37
0,973,103,0,88,42,80
3,811,94,0,95,41,87
4,811,92,2,11,19,31
6,951,100,2,56,9,79
6,995,99,2,0,5,26
4,811,110,0,90,48,86
3,206,90,2,21,14,60
3,689,271,1,80,20,89
4,752,89,2,18,22,41
3,1071,85,0,96,55,89
3,973,105,2,50,12,72
4,292,130,0,96,75,89
6,951,122,1,87,38,79
6,1033,86,2,57,7,41
3,752,98,1,77,35,81
2,626,82,2,17,6,17
6,860,119,2,33,12,38
2,712,83,1,60,5,52
3,233,105,2,31,26,62
0,238,150,2,33,6,62
2,666,108,1,71,7,74
6,0,90,2,15,13,34
6,951,107,2,31,16,44
6,292,115,2,33,21,28
6,951,143,2,40,20,71
0,379,83,0,98,50,78
6,995,125,2,20,10,69
0,419,94,2,30,10,67
6,292,103,2,33,6,42
2,365,86,1,100,20,80
2,967,86,1,72,18,69
2,940,180,1,100,12,86
6,341,99,2,9,22,40
6,995,103,2,57,14,39
0,286,87,1,80,15,76
0,134,75,1,96,23,94
2,618,60,1,100,32,95
4,308,192,2,44,27,61
2,557,103,1,90,10,61
6,292,121,2,32,19,40
4,247,101,0,77,52,67
2,599,90,1,86,7,82
4,329,108,2,36,47,44
3,811,102,1,71,34,54
2,182,110,1,100,8,71
